"","comp_id","year","type","name","tz","start","end"
"1",1,2013,2,"2013 NHL Regular Season","ET",NA,NA
"2",2,2017,2,"2017 NHL Regular Season","ET",NA,NA
"3",2453,2013,3,"2013 NHL Playoff","ET",NA,NA
"4",2541,2017,3,"2017 NHL Playoff","ET",NA,NA
"5",2661,2012,2,"2012 NHL Regular Season","ET",NA,NA
"6",2734,2016,2,"2016 NHL Regular Season","ET",NA,NA
"7",4099,2012,3,"2012 NHL Playoff","ET",NA,NA
"8",4287,2011,2,"2011 NHL Regular Season","ET",NA,NA
"9",5181,2016,3,"2016 NHL Playoff","ET",NA,NA
"10",5385,2015,2,"2015 NHL Regular Season","ET",NA,NA
"11",5478,2011,3,"2011 NHL Playoff","ET",NA,NA
"12",5662,2010,2,"2010 NHL Regular Season","ET",NA,NA
"13",7813,2015,3,"2015 NHL Playoff","ET",NA,NA
"14",8011,2014,2,"2014 NHL Regular Season","ET",NA,NA
"15",8131,2010,3,"2010 NHL Playoff","ET",NA,NA
"16",9389,2014,3,"2014 NHL Playoff","ET",NA,NA
